name,value,values
Q35ResidentialSetting,"Q35ResidentialSetting = Past three months, Residential setting",Boarding school; Privately owned or rented house/flat; Public/social housing house/flat; Out-of-home care; Somewhere else
OLDTimesMoved,OLDTimesMoved = Number of times moved in the last three years,Zero; 1; 2; 3; 4; 5 or more
Q36NoAddress,Q36NoAddress = No fixed address or lived in a refuge or transitional accommodation (ever),Yes; No
Q36aNoAddressTimeRecode,Q36aNoAddressTime = No fixed address or lived in a refuge or transitional accommodation (time period),"Yes, in the last year; Yes, but not in the last year; No"
Q37AwayFromHome,Q37AwayFromHome = Away from home because they felt they couldn't go back (ever),Yes; No; N/A
Q37aAwayFromHomeTimeRecode,Q37aAwayFromHomeTime = Away from home because they felt they couldn't go back (ever),"Yes, in the last year; Yes, but not in the last year; No"
OLDCouchSurfFreq,OLDCouchSurfFreq = Number of times spent away from home,NA
Q38SafePlace,"Q38SafePlace = Past year, Worried about having a safe place to stay",Yes; No
Q11PaidWork,Q11PaidWork = Currently have paid work,"Yes; No, but I'm looking for work; No, and I'm NOT looking for work"
Q11aNoHours,Q11aNoHours = Hour worked in an average week,1-5 hours per week; 6-10 hours per week; 11-20 hours per week; 21-34 hours per week; 35 or more hours per week; Outliers
Q11Workstatus,Q11Workstatus = Employment status,Looking for work; Not looking for work; Employed part-time; Employed full-time
Q44JobParent1,"Q44JobParent1 = Last week, Parent/guardian 1 work status","Yes, full/part-time; No; Not sure; Not applicable"
Q44JobParent2,"Q44JobParent2 = Last week, Parent/guardian 2 work status","Yes, full/part-time; No; Not sure; Not applicable"
OLDJobFather,OLDJobFather = Father's work status last week,"Yes, full time; Yes, part time; No; Not sure; Not applicable"
OLDJobMother,OLDJobMother = Mother's work status last week,"Yes, full time; Yes, part time; No; Not sure; Not applicable"
Q39Moneyconcerns_1,Q39Moneyconcerns_1 = Could not pay bills or car expenses,Yes; No
Q39Moneyconcerns_2,Q39Moneyconcerns_2 = Could not pay rent/mortgage,Yes; No
Q39Moneyconcerns_3,Q39Moneyconcerns_3 = Gone without a meal/s,Yes; No
Q39Moneyconcerns_4,Q39Moneyconcerns_4 = Could not afford school supplies or go on school excursions,Yes; No
